Created,Caller ,Noise Postcode,Type of Noise Causing a Nuisance,Sr_Num,Enq Type
01/01/2021,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
02/01/2021,LS12 ,LS12 2,DOG BARKING,Out ofHours,Out ofHours
02/01/2021,LS9 ,LS9 7,MUSIC,Out ofHours,Out ofHours
02/01/2021,LS9 ,LS9 6,SHOUTING,Out ofHours,Out ofHours
02/01/2021,LS28 ,LS28 5,MUSIC,Out ofHours,Out ofHours
02/01/2021,LS16 ,LS16 6,MUSIC,Out ofHours,Out ofHours
02/01/2021,LS14 ,LS14 1,MUSIC,Out ofHours,Out ofHours
02/01/2021,LS6 ,LS6 3,SHOUTING,Out ofHours,Out ofHours
02/01/2021,LS17 ,LS17 5,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
03/01/2021,LS18 ,LS18 4,DOG BARKING,Out ofHours,Out ofHours
03/01/2021,LS6 ,LS6 3,MUSIC,Out ofHours,Out ofHours
03/01/2021,LS28 ,LS28 5,MUSIC,Out ofHours,Out ofHours
03/01/2021,LS27 ,LS27 7,MUSIC,Out ofHours,Out ofHours
03/01/2021,LS6 ,LS6 1,SHOUTING,Out ofHours,Out ofHours
03/01/2021,LS10 ,LS10 3,MUSIC,Out ofHours,Out ofHours
03/01/2021,LS9 ,LS9 6,SHOUTING,Out ofHours,Out ofHours
03/01/2021,LS6 ,LS6 4,MUSIC,Out ofHours,Out ofHours
03/01/2021,LS6 ,LS6 3,PARTY,Out ofHours,Out ofHours
03/01/2021,LS6 ,LS6 3,MUSIC,Out ofHours,Out ofHours
03/01/2021,LS6 ,LS6 3,MUSIC,Out ofHours,Out ofHours
03/01/2021,LS8 ,LS8 3,TV,Out ofHours,Out ofHours
03/01/2021,LS9 ,LS9 6,MUSIC,Out ofHours,Out ofHours
03/01/2021,LS7 ,LS7 4,MUSIC,Out ofHours,Out ofHours
03/01/2021,LS27 ,LS27 9,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
03/01/2021,WF3 ,WF3 1,TV,Out ofHours,Out ofHours
04/01/2021,LS6 ,LS6 2,ALARM,Out ofHours,Out ofHours
04/01/2021,LS9 ,LS9 8,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
04/01/2021,WF3 ,WF3 1,TV,Out ofHours,Out ofHours
04/01/2021,LS8 ,LS8 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
04/01/2021,LS28 ,LS28 7,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
04/01/2021,LS16 ,LS16 5,MUSIC,Out ofHours,Out ofHours
04/01/2021,LS9 ,LS9 7,MUSIC,Out ofHours,Out ofHours
04/01/2021,LS9 ,LS9 7,SHOUTING,Out ofHours,Out ofHours
04/01/2021,LS10 ,LS10 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
04/01/2021,LS8 ,LS8 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
04/01/2021,LS27 ,LS27 7,MUSIC,Out ofHours,Out ofHours
04/01/2021,LS6 ,LS6 2,MUSIC,Out ofHours,Out ofHours
04/01/2021,LS17 ,LS17 7,MUSIC,Out ofHours,Out ofHours
04/01/2021,LS6 ,LS6 1,SHOUTING,Out ofHours,Out ofHours
05/01/2021,LS4 ,LS4 2,MUSIC,Out ofHours,Out ofHours
05/01/2021,WF3 ,WF3 1,TV,Out ofHours,Out ofHours
05/01/2021,LS9 ,LS9 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
05/01/2021,LS15 ,LS15 8,MUSIC,Out ofHours,Out ofHours
